,Rk,Year,Player,Pos,AV,School,College,HE ,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
136,52,2013,Trevardo Williams,LB,0,Connecticut,College Stats,1-Jun,6'1,241,4.57,38,30,124,,,Houston Texans / 4th / 124th pick / 2013
137,53,2013,Chase Thomas,LB,,Stanford,College Stats,3-Jun,6'3,244,4.91,32,18,113,7.17,4.31,
138,54,2013,Mike Taylor,LB,,Wisconsin,College Stats,1-Jun,6'1,234,4.75,,,,,,
139,55,2013,John Simon,LB,16,Ohio State,College Stats,1-Jun,6'1,257,4.62,,,,,,Baltimore Ravens / 4th / 129th pick / 2013
140,56,2013,Etienne Sabino,LB,,Ohio State,College Stats,2-Jun,6'2,247,4.75,,24,114,,,
141,57,2013,Ty Powell,LB,1,Harding,,2-Jun,6'2,249,4.64,37,28,122,6.98,4.4,Seattle Seahawks / 7th / 231st pick / 2013
142,58,2013,Sean Porter,LB,0,Texas A&M,College Stats,1-Jun,6'1,229,4.75,35,22,119,,,Cincinnati Bengals / 4th / 118th pick / 2013
143,59,2013,Alec Ogletree,LB,49,Georgia,College Stats,2-Jun,6'2,242,4.7,33.5,20,122,7.16,4.39,St. Louis Rams / 1st / 30th pick / 2013
144,60,2013,Sio Moore,LB,16,Connecticut,College Stats,1-Jun,6'1,245,4.65,38,29,127,7.49,4.31,Oakland Raiders / 3rd / 66th pick / 2013
145,61,2013,Nick Moody,LB,2,Florida State,College Stats,1-Jun,6'1,236,4.71,,17,118,,,San Francisco 49ers / 6th / 180th pick / 2013
146,62,2013,Barkevious Mingo,LB,24,LSU,College Stats,4-Jun,6'4,241,4.58,37,,128,6.84,4.39,Cleveland Browns / 1st / 6th pick / 2013
147,63,2013,Lerentee McCray,LB,5,Florida,College Stats,2-Jun,6'2,250,4.74,,,,,,
148,64,2013,Michael Mauti,LB,5,Penn State,College Stats,2-Jun,6'2,243,4.83,,28,,,,Minnesota Vikings / 7th / 213th pick / 2013
149,65,2013,Brandon Magee,LB,2,Arizona State,College Stats,11-May,5'11,223,4.74,,,114,,,
150,66,2013,John Lotulelei,LB,1,UNLV,College Stats,11-May,5'11,233,4.84,35.5,25,117,6.91,4.3,
151,67,2013,Jake Knott,LB,1,Iowa State,College Stats,2-Jun,6'2,243,4.84,,,,,,
152,68,2013,Dion Jordan,LB,7,Oregon,College Stats,6-Jun,6'6,248,4.54,32.5,,122,7.02,4.35,Miami Dolphins / 1st / 3rd pick / 2013
153,69,2013,Jarvis Jones,LB,19,Georgia,College Stats,2-Jun,6'2,245,4.74,,,,,,Pittsburgh Steelers / 1st / 17th pick / 2013
154,70,2013,DeVonte Holloman,LB,1,South Carolina,College Stats,1-Jun,6'1,243,4.76,33,15,113,7.3,4.26,Dallas Cowboys / 6th / 185th pick / 2013
155,71,2013,Gerald Hodges,LB,20,Penn State,College Stats,1-Jun,6'1,243,4.78,,22,119,,,Minnesota Vikings / 4th / 120th pick / 2013
156,72,2013,Khaseem Greene,LB,3,Rutgers,College Stats,1-Jun,6'1,241,4.71,30,17,116,7.58,4.2,Chicago Bears / 4th / 117th pick / 2013
157,73,2013,Zaviar Gooden,LB,3,Missouri,College Stats,1-Jun,6'1,234,4.47,34,27,131,6.71,4.18,Tennessee Titans / 3rd / 97th pick / 2013
158,74,2013,Jamie Collins,LB,47,Southern Miss,College Stats,3-Jun,6'3,250,4.64,41.5,19,139,7.1,4.32,New England Patriots / 2nd / 52nd pick / 2013
159,75,2013,Arthur Brown,LB,3,Kansas State,College Stats,Jun-00,6'1,241,4.62,,,116,,,Baltimore Ravens / 2nd / 56th pick / 2013
160,76,2013,Jon Bostic,LB,21,Florida,College Stats,1-Jun,6'1,245,4.59,32.5,22,118,6.99,4.24,Chicago Bears / 2nd / 50th pick / 2013
161,77,2013,Nathan Williams,LB,,Ohio State,College Stats,3-Jun,6'3,241,4.88,35,24,113,6.99,4.44,
162,78,2012,Kyle Wilber,LB,14,Wake Forest,College Stats,4-Jun,6'4,249,4.73,33.5,25,117,7.11,4.31,Dallas Cowboys / 4th / 113th pick / 2012
163,79,2012,Tahir Whitehead,LB,36,Temple,College Stats,1-Jun,6'1,233,4.62,37,21,124,7.14,4.37,Detroit Lions / 5th / 138th pick / 2012
164,80,2012,Danny Trevathan,LB,42,Kentucky,College Stats,Jun-00,6'1,237,4.84,31.5,18,111,,,Denver Broncos / 6th / 188th pick / 2012
